Algorithm,Key comparisons,Execution time 
Merge Sort,159151078,3.537000
Merge-Insertion Sort,181386740,2.418000
Merge Sort,159152265,3.486000
Merge-Insertion Sort,181407315,2.412000
Merge Sort,159148317,3.466000
Merge-Insertion Sort,181403571,2.412000
Merge Sort,159149611,3.483000
Merge-Insertion Sort,181393497,2.442000
Merge Sort,159159663,3.477000
Merge-Insertion Sort,181401104,2.401000
Merge Sort,159151399,3.510000
Merge-Insertion Sort,181398862,2.374000
Merge Sort,159154835,3.541000
Merge-Insertion Sort,181401230,2.423000
Merge Sort,159152488,3.556000
Merge-Insertion Sort,181387696,2.465000
Merge Sort,159154791,3.460000
Merge-Insertion Sort,181409386,2.375000
Merge Sort,159154690,3.460000
Merge-Insertion Sort,181387157,2.372000
Merge Sort,159153956,3.471000
Merge-Insertion Sort,181397211,2.383000
Merge Sort,159157006,3.477000
Merge-Insertion Sort,181407452,2.392000
Merge Sort,159158061,3.534000
Merge-Insertion Sort,181398151,2.369000
Merge Sort,159153298,3.468000
Merge-Insertion Sort,181400060,2.373000
Merge Sort,159156926,3.480000
