Array Size,Key comparisons,Execution time 
363000,5204834,76
364000,5220799,73
365000,5237886,77
366000,5257449,79
367000,5272204,73
368000,5288122,76
369000,5302720,83
370000,5321422,83
371000,5341244,80
372000,5354145,79
373000,5373278,75
374000,5390906,79
375000,5406260,76
376000,5425342,79
377000,5439507,80
378000,5458476,75
379000,5474549,81
380000,5489491,81
381000,5508220,87
382000,5523309,77
383000,5543836,82
384000,5561756,77
385000,5576679,79
386000,5593365,80
387000,5610219,80
388000,5626205,81
389000,5645044,82
390000,5659495,81
391000,5677564,82
392000,5695061,83
393000,5712053,95
394000,5730504,81
395000,5747123,81
396000,5764030,81
397000,5781647,81
398000,5800564,83
399000,5814715,81
400000,5832727,81
401000,5850146,84
402000,5869274,81
403000,5885988,81
404000,5900855,84
405000,5920219,83
406000,5940092,83
407000,5952435,84
408000,5976939,84
409000,5989835,84
410000,6008213,84
411000,6024536,85
412000,6041052,86
413000,6059917,84
414000,6076573,87
415000,6096913,86
416000,6109504,85
417000,6129580,85
418000,6147868,85
419000,6165224,86
420000,6181781,87
421000,6199016,85
422000,6214731,87
423000,6232560,86
424000,6248121,86
425000,6269303,86
426000,6284793,89
427000,6303004,89
428000,6321162,90
429000,6340477,88
430000,6355963,90
431000,6375415,91
432000,6393480,87
433000,6411041,88
434000,6428353,94
435000,6447761,88
436000,6465394,90
437000,6481717,87
438000,6497426,88
439000,6519924,89
440000,6538397,91
441000,6557239,92
442000,6570784,92
443000,6590014,92
444000,6605676,89
445000,6623347,89
446000,6644987,89
447000,6662305,115
448000,6680956,107
449000,6696158,94
450000,6716693,91
451000,6731782,96
452000,6748252,94
453000,6767219,91
454000,6785792,92
455000,6805248,96
456000,6821381,95
457000,6837704,92
458000,6856668,94
459000,6875785,92
460000,6895543,94
461000,6911950,95
462000,6929029,94
463000,6950005,96
464000,6967304,96
465000,6985508,97
466000,7002247,95
467000,7024731,98
468000,7042800,99
469000,7057055,96
470000,7078889,96
471000,7092975,99
472000,7109826,96
473000,7130115,97
474000,7154335,96
475000,7168793,98
476000,7187794,101
477000,7204350,99
478000,7226068,99
479000,7240187,99
480000,7261100,98
481000,7278467,101
482000,7295806,98
483000,7312917,102
484000,7329372,101
485000,7349827,101
486000,7366804,99
487000,7388018,102
488000,7404279,100
489000,7425639,102
490000,7441055,106
491000,7458636,101
492000,7478206,101
493000,7497985,101
494000,7518899,103
495000,7536163,101
496000,7551663,108
497000,7574250,101
498000,7590297,106
499000,7609373,104
500000,7623824,102
501000,7648072,101
502000,7666125,104
503000,7681779,104
504000,7703952,103
505000,7726317,108
506000,7742297,103
507000,7762103,104
508000,7778940,105
509000,7798382,104
510000,7817150,105
511000,7834030,106
512000,7855992,106
513000,7875284,104
514000,7893179,104
515000,7912835,107
516000,7930955,106
517000,7950214,104
518000,7966720,115
519000,7986880,106
520000,8006538,112
521000,8021573,113
522000,8042151,115
523000,8064646,113
524000,8078915,113
525000,8082119,115
526000,8075593,118
527000,8075981,125
528000,8074225,117
529000,8066196,119
530000,8063416,116
531000,8058576,115
532000,8057020,111
533000,8053631,114
534000,8048197,115
535000,8046040,114
536000,8039548,121
537000,8037705,118
538000,8035867,113
539000,8028026,132
