Threshold Size,Key comparisons,Execution time 
1,1250828,0.031000
2,1250097,0.024000
4,1251110,0.024000
8,1271836,0.023000
16,1353482,0.020000
32,1575731,0.022000
64,2101307,0.023000
128,3225281,0.031000
256,5557742,0.047000
512,10351790,0.080000
1024,20044464,0.147000
2048,39425739,0.286000
4096,78465128,0.565000
8192,156317249,1.145000
16384,314047193,2.339000
32768,624769147,4.821000
65536,1251260318,9.702000
