Array Size,Key comparisons,Execution time 
272000,4213221,0.094000
273000,4230428,0.096000
274000,4247169,0.100000
275000,4263273,0.108000
276000,4279728,0.103000
277000,4296267,0.107000
278000,4313154,0.098000
279000,4330025,0.097000
280000,4346037,0.098000
281000,4363006,0.104000
282000,4378921,0.112000
283000,4396083,0.110000
284000,4412322,0.099000
285000,4428502,0.100000
286000,4446142,0.101000
287000,4461999,0.100000
288000,4478828,0.102000
289000,4494767,0.102000
290000,4511051,0.119000
291000,4528444,0.108000
292000,4544504,0.114000
293000,4561102,0.118000
294000,4578221,0.107000
295000,4593669,0.113000
296000,4610116,0.103000
297000,4627224,0.112000
298000,4644120,0.104000
299000,4660390,0.104000
300000,4676723,0.104000
301000,4693323,0.106000
302000,4709742,0.106000
303000,4726333,0.106000
304000,4742928,0.109000
305000,4759344,0.108000
306000,4776743,0.107000
307000,4793313,0.108000
308000,4809643,0.109000
309000,4825635,0.113000
310000,4842645,0.115000
311000,4859650,0.125000
312000,4875798,0.115000
313000,4892089,0.110000
314000,4908532,0.111000
315000,4925102,0.111000
316000,4941191,0.113000
317000,4957946,0.114000
318000,4974630,0.112000
319000,4990865,0.113000
320000,5007557,0.112000
321000,5024090,0.112000
322000,5040496,0.113000
323000,5057113,0.115000
324000,5074301,0.116000
325000,5090381,0.118000
326000,5107144,0.138000
327000,5123474,0.133000
328000,5139867,0.128000
329000,5156103,0.127000
330000,5173060,0.123000
331000,5189347,0.119000
332000,5206423,0.127000
333000,5222601,0.122000
334000,5239497,0.138000
335000,5256545,0.124000
336000,5272971,0.117000
337000,5288925,0.118000
338000,5305977,0.120000
339000,5323276,0.124000
340000,5339065,0.120000
341000,5354960,0.119000
342000,5372705,0.124000
343000,5388783,0.123000
344000,5405511,0.125000
345000,5422543,0.120000
346000,5439316,0.124000
347000,5455625,0.122000
348000,5471715,0.122000
349000,5488699,0.122000
350000,5505127,0.122000
351000,5521510,0.122000
352000,5538332,0.124000
353000,5554411,0.124000
354000,5571837,0.124000
355000,5588210,0.124000
356000,5604803,0.126000
357000,5620525,0.123000
358000,5637311,0.126000
359000,5654319,0.125000
360000,5670595,0.126000
361000,5687799,0.130000
362000,5704408,0.130000
363000,5720339,0.153000
364000,5737139,0.127000
365000,5753996,0.128000
366000,5770636,0.128000
367000,5787480,0.138000
368000,5804167,0.139000
369000,5820552,0.130000
370000,5836695,0.140000
371000,5854283,0.135000
372000,5870396,0.141000
373000,5886458,0.135000
374000,5903466,0.132000
375000,5919891,0.130000
376000,5936496,0.132000
377000,5953424,0.143000
378000,5970043,0.136000
379000,5986078,0.140000
380000,6002946,0.135000
381000,6019517,0.133000
382000,6036043,0.133000
383000,6052427,0.137000
384000,6069389,0.133000
385000,6085692,0.138000
386000,6102911,0.138000
387000,6118610,0.136000
388000,6136179,0.136000
389000,6152451,0.141000
390000,6169141,0.148000
391000,6185271,0.153000
392000,6201404,0.201000
393000,6218870,0.145000
394000,6234793,0.140000
395000,6251677,0.140000
396000,6268777,0.138000
397000,6284877,0.147000
398000,6302760,0.141000
399000,6318738,0.143000
400000,6335423,0.144000
401000,6351766,0.148000
402000,6369961,0.143000
403000,6385511,0.149000
404000,6402213,0.156000
405000,6419670,0.143000
406000,6436447,0.144000
407000,6452785,0.148000
408000,6470474,0.147000
409000,6486164,0.144000
410000,6502567,0.145000
411000,6519902,0.146000
412000,6536179,0.144000
413000,6553269,0.147000
414000,6569976,0.147000
415000,6586922,0.144000
416000,6603878,0.155000
417000,6620315,0.148000
418000,6637255,0.149000
419000,6653754,0.146000
420000,6670230,0.150000
421000,6687865,0.152000
422000,6703898,0.153000
423000,6720838,0.152000
424000,6737467,0.151000
425000,6753218,0.149000
426000,6769816,0.153000
427000,6787370,0.153000
428000,6803589,0.154000
429000,6820530,0.152000
430000,6837339,0.154000
431000,6853682,0.152000
432000,6870610,0.152000
433000,6886827,0.154000
434000,6904618,0.159000
435000,6921719,0.165000
436000,6937376,0.155000
437000,6954466,0.153000
438000,6971866,0.153000
439000,6987980,0.157000
440000,7004134,0.155000
441000,7021000,0.158000
442000,7038884,0.154000
443000,7054629,0.157000
444000,7071967,0.157000
445000,7087853,0.158000
446000,7104985,0.163000
447000,7121419,0.157000
448000,7138060,0.159000
449000,7155378,0.158000
450000,7172991,0.160000
451000,7188154,0.162000
452000,7205227,0.160000
453000,7222654,0.161000
454000,7238661,0.159000
455000,7256192,0.166000
456000,7272491,0.161000
457000,7289032,0.170000
458000,7305244,0.162000
459000,7322839,0.166000
460000,7339237,0.166000
461000,7356574,0.169000
462000,7372575,0.168000
463000,7388952,0.170000
464000,7405469,0.169000
465000,7423302,0.165000
466000,7439526,0.173000
467000,7455894,0.169000
468000,7472911,0.172000
469000,7489807,0.167000
470000,7506842,0.174000
471000,7522796,0.166000
472000,7539991,0.178000
473000,7556156,0.169000
474000,7573779,0.172000
475000,7590668,0.180000
476000,7606970,0.179000
477000,7624082,0.171000
478000,7641054,0.169000
479000,7656663,0.172000
480000,7673773,0.170000
481000,7690542,0.171000
482000,7707524,0.173000
483000,7724805,0.172000
484000,7741254,0.175000
485000,7757705,0.181000
486000,7774811,0.185000
487000,7790410,0.174000
488000,7807715,0.175000
489000,7825407,0.173000
490000,7841844,0.175000
491000,7858009,0.198000
492000,7874952,0.179000
493000,7891467,0.179000
494000,7908843,0.177000
495000,7924998,0.180000
496000,7941473,0.184000
497000,7958461,0.179000
498000,7975138,0.175000
499000,7991828,0.180000
500000,8008363,0.199000
501000,8024951,0.183000
502000,8042561,0.194000
503000,8058179,0.182000
504000,8076023,0.179000
505000,8093048,0.178000
506000,8108855,0.182000
507000,8125720,0.182000
508000,8143067,0.186000
509000,8159807,0.184000
510000,8175862,0.180000
511000,8192945,0.186000
512000,8209917,0.183000
513000,8226224,0.182000
514000,8243224,0.187000
515000,8260612,0.184000
516000,8275637,0.191000
517000,8292784,0.194000
518000,8309397,0.189000
519000,8326253,0.207000
520000,8343779,0.209000
521000,8360376,0.187000
522000,8376704,0.192000
523000,8394100,0.185000
524000,8409439,0.191000
525000,8427115,0.193000
526000,8444330,0.197000
527000,8461128,0.186000
528000,8478523,0.188000
529000,8495616,0.187000
530000,8513431,0.188000
531000,8529626,0.187000
532000,8547628,0.190000
533000,8564853,0.189000
534000,8581734,0.189000
535000,8597831,0.189000
536000,8615720,0.196000
537000,8632498,0.191000
538000,8650003,0.192000
539000,8666946,0.193000
540000,8684139,0.194000
541000,8700907,0.193000
542000,8717960,0.199000
543000,8735903,0.193000
544000,8751915,0.196000
545000,8768855,0.194000
546000,8787521,0.201000
547000,8804058,0.200000
548000,8819968,0.196000
549000,8837003,0.196000
550000,8854335,0.195000
551000,8871500,0.197000
552000,8890037,0.197000
553000,8905530,0.197000
554000,8923080,0.197000
555000,8940108,0.198000
556000,8956738,0.197000
557000,8975682,0.197000
558000,8992218,0.210000
559000,9007725,0.202000
560000,9025194,0.210000
561000,9043093,0.202000
562000,9059291,0.205000
563000,9077444,0.207000
564000,9093962,0.205000
565000,9111430,0.213000
566000,9128355,0.212000
567000,9144884,0.230000
568000,9162590,0.207000
569000,9178759,0.202000
570000,9196450,0.205000
571000,9214502,0.214000
572000,9231029,0.207000
573000,9247656,0.208000
574000,9263977,0.205000
575000,9281507,0.212000
576000,9298919,0.208000
577000,9316075,0.208000
578000,9332330,0.214000
579000,9351393,0.209000
580000,9367177,0.210000
581000,9384926,0.216000
582000,9400358,0.208000
583000,9419277,0.212000
584000,9436324,0.214000
585000,9451626,0.213000
586000,9469247,0.213000
587000,9487476,0.211000
588000,9504076,0.210000
589000,9520808,0.210000
590000,9538234,0.212000
591000,9555226,0.215000
592000,9572858,0.212000
593000,9589268,0.219000
594000,9606346,0.216000
