Threshold Size,Key comparisons,Execution time 
26510,1250504,0.030000
26610,1250471,0.031000
26710,1250388,0.032000
26810,1250510,0.033000
26910,1250762,0.030000
27010,1249853,0.031000
27110,1250549,0.032000
27210,1250178,0.033000
27310,1250571,0.031000
27410,1250451,0.031000
27510,1250734,0.031000
27610,1251049,0.030000
27710,1250084,0.029000
27810,1250422,0.030000
27910,1250547,0.032000
28010,1250530,0.030000
28110,1250122,0.030000
28210,1250931,0.030000
28310,1250560,0.030000
28410,1250646,0.031000
28510,1250592,0.031000
28610,1250494,0.030000
28710,1250265,0.030000
28810,1250661,0.030000
28910,1250528,0.031000
29010,1250742,0.031000
29110,1250515,0.031000
29210,1250408,0.030000
29310,1250346,0.030000
29410,1250292,0.030000
29510,1250161,0.031000
29610,1250679,0.029000
29710,1250654,0.030000
29810,1250066,0.030000
29910,1250062,0.031000
30010,1250440,0.030000
30110,1250204,0.031000
30210,1250037,0.032000
30310,1250319,0.030000
30410,1250351,0.031000
30510,1250569,0.032000
30610,1250813,0.031000
30710,1250149,0.031000
30810,1250416,0.030000
30910,1250430,0.031000
31010,1250666,0.031000
31110,1250339,0.033000
31210,1250737,0.035000
31310,1250634,0.030000
31410,1250534,0.030000
31510,1250639,0.031000
31610,1250712,0.030000
31710,1250377,0.031000
31810,1250726,0.031000
31910,1250475,0.032000
32010,1250602,0.030000
32110,1250475,0.032000
32210,1250505,0.031000
32310,1250172,0.030000
32410,1250413,0.030000
32510,1250420,0.031000
32610,1250647,0.031000
32710,1250119,0.031000
32810,1250496,0.030000
32910,1250222,0.030000
33010,1250197,0.030000
33110,1250248,0.030000
33210,1250274,0.030000
33310,1250612,0.030000
33410,1250276,0.031000
33510,1250812,0.031000
33610,1249949,0.031000
33710,1250502,0.031000
33810,1250528,0.030000
33910,1250528,0.031000
34010,1250909,0.030000
34110,1250434,0.031000
34210,1250417,0.030000
34310,1250188,0.031000
34410,1250256,0.033000
34510,1250665,0.030000
34610,1250275,0.030000
34710,1250622,0.043000
34810,1250229,0.037000
34910,1250600,0.032000
35010,1250780,0.030000
35110,1250383,0.032000
35210,1250462,0.030000
35310,1250287,0.030000
35410,1250712,0.031000
35510,1250291,0.032000
35610,1250497,0.031000
35710,1250345,0.030000
35810,1250708,0.031000
35910,1250786,0.032000
36010,1250221,0.030000
36110,1250258,0.030000
36210,1250442,0.031000
36310,1250712,0.030000
36410,1250391,0.034000
36510,1250288,0.031000
36610,1250443,0.031000
36710,1250612,0.031000
36810,1250172,0.034000
36910,1250421,0.031000
37010,1250504,0.030000
37110,1250760,0.031000
37210,1250299,0.032000
37310,1250321,0.031000
37410,1250516,0.031000
37510,1250659,0.031000
37610,1250593,0.032000
37710,1250704,0.032000
37810,1250535,0.031000
37910,1250768,0.034000
38010,1250522,0.030000
38110,1250591,0.030000
38210,1250632,0.032000
38310,1250774,0.032000
38410,1250467,0.032000
38510,1250336,0.032000
38610,1250522,0.030000
38710,1250633,0.033000
38810,1250485,0.033000
38910,1250463,0.033000
39010,1250867,0.032000
39110,1250501,0.031000
39210,1250471,0.033000
39310,1250157,0.031000
39410,1250413,0.034000
39510,1250603,0.032000
39610,1250342,0.030000
39710,1250214,0.032000
39810,1250054,0.030000
39910,1250313,0.030000
40010,1249946,0.031000
40110,1250604,0.031000
40210,1250449,0.030000
40310,1250634,0.031000
40410,1250190,0.032000
40510,1250278,0.031000
40610,1250229,0.031000
40710,1250598,0.032000
40810,1250923,0.033000
40910,1250402,0.032000
41010,1250223,0.031000
41110,1250858,0.031000
41210,1250535,0.032000
41310,1250981,0.031000
41410,1250502,0.032000
41510,1250076,0.030000
41610,1249968,0.032000
41710,1250263,0.031000
41810,1250659,0.030000
41910,1250369,0.031000
42010,1250806,0.031000
42110,1250557,0.031000
42210,1250513,0.031000
42310,1250581,0.031000
42410,1250015,0.032000
42510,1250759,0.031000
42610,1250655,0.031000
42710,1250545,0.030000
42810,1249802,0.031000
42910,1250596,0.031000
43010,1250926,0.031000
43110,1250532,0.031000
43210,1250458,0.030000
43310,1250408,0.032000
43410,1250906,0.031000
43510,1250176,0.030000
43610,1249946,0.031000
43710,1250664,0.031000
43810,1250146,0.031000
43910,1250264,0.030000
44010,1250798,0.030000
44110,1250450,0.032000
44210,1250512,0.030000
44310,1250499,0.031000
44410,1250284,0.032000
44510,1250765,0.031000
44610,1250565,0.031000
44710,1250205,0.030000
44810,1250278,0.031000
44910,1250304,0.031000
45010,1250374,0.031000
45110,1251018,0.030000
45210,1250552,0.032000
45310,1250524,0.033000
45410,1250479,0.030000
45510,1250270,0.031000
45610,1250603,0.030000
45710,1250597,0.031000
45810,1250340,0.031000
45910,1250511,0.032000
46010,1250334,0.030000
46110,1250485,0.031000
46210,1250324,0.031000
46310,1250444,0.030000
46410,1250860,0.031000
46510,1250536,0.030000
46610,1250257,0.032000
46710,1250474,0.031000
46810,1250096,0.030000
46910,1250732,0.031000
47010,1250188,0.032000
47110,1250723,0.032000
47210,1250596,0.031000
47310,1250362,0.032000
47410,1250296,0.032000
47510,1250312,0.030000
47610,1250665,0.032000
47710,1250610,0.031000
47810,1250878,0.031000
47910,1250477,0.031000
48010,1250305,0.031000
48110,1250113,0.031000
48210,1250635,0.035000
48310,1250110,0.031000
48410,1250093,0.031000
48510,1250616,0.030000
48610,1250777,0.030000
48710,1250512,0.032000
48810,1250599,0.031000
48910,1250435,0.031000
49010,1250547,0.032000
49110,1250382,0.031000
49210,1250334,0.032000
49310,1250555,0.034000
49410,1250764,0.032000
49510,1250090,0.031000
49610,1250204,0.030000
49710,1250162,0.030000
49810,1250438,0.031000
49910,1250536,0.031000
