Threshold Size,Key comparisons,Execution time 
26510,624507514,4.774000
26610,623993584,4.740000
26710,625892717,4.716000
26810,626250343,4.836000
26910,626154031,4.856000
27010,623645309,4.688000
27110,624406460,4.749000
27210,626794399,4.859000
27310,624049024,4.706000
27410,624110365,4.702000
27510,624240915,4.683000
27610,623843853,4.710000
27710,624710735,4.666000
27810,626109511,4.787000
27910,623448099,4.849000
28010,622304527,4.650000
28110,622260698,4.659000
28210,625568715,4.937000
28310,626043456,4.844000
28410,625439561,5.079000
28510,624308778,4.892000
28610,622837252,4.966000
28710,625318407,5.036000
28810,627562015,4.793000
28910,624111917,4.755000
29010,625941524,4.761000
29110,627239501,4.870000
29210,624619438,4.832000
29310,622615073,4.727000
29410,623799566,4.845000
29510,626539726,4.947000
29610,625442112,4.853000
29710,625765836,4.837000
29810,626372835,4.830000
29910,622937989,4.860000
30010,625171867,5.041000
30110,623135514,4.739000
30210,623414547,4.699000
30310,624877047,4.708000
30410,624463376,4.702000
30510,624951407,4.721000
30610,623632111,4.745000
30710,623760590,4.639000
30810,625873163,4.733000
30910,621768866,4.741000
31010,623429484,4.679000
31110,625479015,4.743000
31210,623262110,4.638000
31310,625619245,4.754000
31410,624557859,4.739000
31510,622737636,4.732000
31610,625895591,4.642000
31710,623671268,4.703000
31810,622112046,4.710000
31910,621103544,4.678000
32010,625926358,4.729000
32110,623840559,4.684000
32210,623610591,4.626000
32310,625242710,4.739000
32410,625161388,4.699000
32510,624575708,4.718000
32610,623650141,4.640000
32710,621611942,4.629000
32810,624757125,4.649000
32910,626169415,4.711000
33010,625816907,4.666000
33110,626247379,4.683000
33210,623454721,4.707000
33310,624268822,4.673000
33410,625865726,4.772000
33510,623981754,4.706000
33610,624298844,4.718000
33710,624818847,4.703000
33810,625613130,4.729000
33910,624737949,4.710000
34010,623563666,4.689000
34110,625006028,4.670000
34210,622490759,4.706000
34310,623341484,4.673000
34410,626405630,4.686000
34510,623166778,4.703000
34610,624580884,4.693000
34710,624282503,4.680000
34810,624629378,4.659000
34910,625499063,4.645000
35010,624164247,4.710000
35110,625366096,4.687000
35210,623105669,4.713000
35310,625100976,4.712000
35410,623373878,4.739000
35510,625008283,4.786000
35610,624851563,4.738000
35710,625294237,4.769000
35810,624651104,4.949000
35910,626252384,4.837000
36010,623028466,4.748000
36110,625056689,4.691000
36210,624010936,4.676000
36310,625862319,4.693000
36410,624881432,4.675000
36510,624237688,4.719000
36610,624870113,4.651000
36710,625638797,4.753000
36810,623368532,4.710000
36910,625319558,4.735000
37010,624777467,4.713000
37110,624976096,4.676000
37210,623241428,4.664000
37310,625935482,4.738000
37410,623941108,4.712000
37510,624848157,4.670000
37610,622769231,4.707000
37710,626072675,4.737000
37810,622801583,4.718000
37910,624725657,4.665000
38010,625891074,4.704000
38110,624652593,4.662000
38210,626658489,4.745000
38310,624321775,4.758000
38410,621078943,4.610000
38510,625245149,4.747000
38610,624595336,4.676000
38710,623028238,4.722000
38810,624473775,4.673000
38910,623810141,4.708000
39010,624264975,4.703000
39110,623190024,4.702000
39210,625026762,4.677000
39310,621395692,4.642000
39410,625672254,4.753000
39510,625984012,4.733000
39610,626660955,4.723000
39710,621645300,4.544000
39810,623573520,4.655000
39910,626027948,4.759000
40010,624396905,4.770000
40110,625834895,4.707000
40210,624792555,4.744000
40310,625001305,4.676000
40410,621778741,4.649000
40510,623196186,4.747000
40610,623854694,4.756000
40710,624541055,4.659000
40810,624171129,4.699000
40910,624624031,4.650000
41010,623723604,4.638000
41110,624130084,4.730000
41210,623863613,4.706000
41310,625639837,4.731000
41410,625195996,4.713000
41510,622740870,4.616000
41610,623462434,4.720000
41710,623624888,4.703000
41810,627913227,4.703000
41910,626543563,4.708000
42010,622774182,4.715000
42110,622387751,4.677000
42210,621290813,4.638000
42310,625097107,4.659000
42410,624497893,4.670000
42510,624868308,4.645000
42610,624358324,4.631000
42710,625223634,4.622000
42810,623531304,4.716000
42910,622920408,4.625000
43010,625793914,4.673000
43110,624559718,4.667000
43210,623426535,4.719000
43310,624815576,4.805000
43410,625762218,4.875000
43510,622151327,4.689000
43610,624655767,4.779000
43710,624197019,4.625000
43810,627022802,4.763000
43910,625012594,4.725000
44010,625428614,4.786000
44110,624042924,4.783000
44210,622718336,4.747000
44310,622939504,4.700000
44410,623369257,4.637000
44510,623448352,4.652000
44610,623235270,4.665000
44710,623360138,4.723000
44810,625029910,4.753000
44910,625289174,4.641000
45010,625752394,4.714000
45110,625790807,4.684000
45210,623800439,4.649000
45310,626062157,4.651000
45410,623790284,4.673000
45510,624488719,4.642000
45610,625172022,4.728000
45710,624518602,4.679000
45810,624957249,4.661000
45910,623518975,4.582000
46010,626531018,4.730000
46110,625395513,4.857000
46210,622975048,4.744000
46310,620544696,4.644000
46410,625211247,4.710000
46510,627384607,4.721000
46610,624918018,4.688000
46710,624898437,4.724000
46810,622140478,4.592000
46910,621919376,4.710000
47010,624399463,4.723000
47110,624239569,4.645000
47210,625084280,4.618000
47310,623688679,4.682000
47410,625974398,4.701000
47510,626544996,4.684000
47610,624722883,4.675000
47710,625261193,4.700000
47810,623764281,4.720000
47910,623147568,4.726000
48010,627482359,4.703000
48110,624508272,4.697000
48210,624623843,4.679000
48310,628774366,4.724000
48410,625029193,4.716000
48510,625533850,4.736000
48610,622658240,4.686000
48710,623838814,4.666000
48810,623299690,4.670000
48910,625958403,4.697000
49010,625326317,4.687000
49110,623637570,4.647000
49210,625023660,4.702000
49310,625800410,4.666000
49410,625875606,4.752000
49510,625718673,4.641000
49610,624822698,4.667000
49710,626430693,4.700000
49810,625561035,4.686000
49910,624034815,4.622000
