Trial,Key Comparisons,Elapsed Time
#0,206025780,2.804000
#1,206049467,2.820000
#2,206055343,2.797000
#3,206042796,2.828000
#4,206048744,2.818000
#5,206043570,2.792000
#6,206045838,2.813000
#7,206039409,2.978000
#8,206045586,2.941000
#9,206027163,2.796000
#10,206043660,2.773000
#11,206050120,2.802000
#12,206038760,2.777000
#13,206050166,2.785000
#14,206056871,2.796000
#15,206053361,2.775000
#16,206052236,2.805000
#17,206061459,2.751000
#18,206049721,2.725000
#19,206060800,2.747000
