Threshold Size,Key Comparisons,Execution Time
1,183832799,3.843000
6,184838398,3.456000
11,190147085,3.079000
16,190152951,3.037000
21,206065345,3.034000
26,206050157,2.967000
31,206069789,3.066000
36,206059353,3.024000
41,244987633,3.229000
46,245026140,3.198000
51,244993212,3.200000
56,244988741,3.195000
61,245001731,3.188000
66,244964698,3.229000
71,244995496,3.166000
76,331019338,3.692000
81,331069605,3.752000
86,331100734,3.737000
91,331030140,3.799000
96,331086693,3.743000
