Array Size,Threshold Size,Key Comparisons,Elapsed Time
1000,1,8328,0.000000
1000,2,8328,0.000000
1000,4,8378,0.001000
1000,8,8716,0.000000
1000,16,9863,0.000000
1000,32,13117,0.000000
1000,64,20293,0.000000
1000,128,35783,0.001000
1000,256,66787,0.001000
1000,512,128595,0.002000
10000,1,116743,0.004000
10000,2,116749,0.003000
10000,4,117746,0.003000
10000,8,118733,0.003000
10000,16,123280,0.002000
10000,32,139370,0.002000
10000,64,179792,0.002000
10000,128,267075,0.004000
10000,256,451443,0.004000
10000,512,826954,0.008000
100000,1,1456527,0.032000
100000,2,1456605,0.026000
100000,4,1457073,0.025000
100000,8,1478200,0.025000
100000,16,1560223,0.022000
100000,32,1782874,0.023000
100000,64,2297406,0.030000
100000,128,3430188,0.036000
100000,256,5772467,0.049000
100000,512,10564132,0.082000
1000000,1,16589331,0.300000
1000000,2,16589355,0.296000
1000000,4,16643987,0.273000
1000000,8,16988178,0.250000
1000000,16,18138518,0.245000
1000000,32,21102363,0.253000
1000000,64,27806712,0.292000
1000000,128,42121894,0.392000
1000000,256,71744852,0.588000
1000000,512,131749781,1.029000
10000000,1,183833731,3.287000
10000000,2,183831163,3.111000
10000000,4,184837418,2.888000
10000000,8,186879177,2.837000
10000000,16,190153876,2.753000
10000000,32,206052068,2.747000
10000000,64,244998241,2.949000
10000000,128,331113925,3.409000
10000000,256,512174613,4.637000
10000000,512,883771259,7.193000
