Threshold Size,Key comparisons,Execution time
1,159152093,3.099000
2,159157642,2.866000
4,160165743,2.627000
8,162213990,2.553000
16,165485148,2.457000
32,181401914,2.405000
64,220343825,2.547000
128,306581583,3.058000
256,487926009,4.337000
512,859737337,6.940000
