Threshold Size,Key Comparisons,Elapsed Time
1,183832799,3.335000
2,183832634,3.146000
4,184840593,2.913000
8,186884550,2.840000
16,190155166,2.765000
32,206048428,2.765000
64,244981553,2.937000
128,331008435,3.458000
256,512207483,4.681000
512,883908632,7.258000
1024,1636741322,12.600000
2048,3153598264,23.356001
4096,6197211437,45.300999
8192,12289883461,89.487999
